ID,Name,Certificate,Duration,Genre,Rating,Metascore,Revenue
490,Edge of Tomorrow,PG-13,113 min,"Action, Adventure, Sci-Fi",7.9,71,715340
491,Zack Snyder's Justice League,R,242 min,"Action, Adventure, Fantasy",7.9,54,425235
492,Shaun of the Dead,R,99 min,"Comedy, Horror",7.9,76,580424
493,Jojo Rabbit,PG-13,108 min,"Comedy, Drama, War",7.9,58,423072
494,Shrek,PG,90 min,"Animation, Adventure, Comedy",7.9,84,712707
495,Thor: Ragnarok,PG-13,130 min,"Action, Adventure, Comedy",7.9,74,794216
496,Star Trek,PG-13,127 min,"Action, Adventure, Sci-Fi",7.9,82,614720
497,The Perks of Being a Wallflower,PG-13,103 min,Drama,7.9,67,535799
498,District 9,R,112 min,"Action, Sci-Fi, Thriller",7.9,81,703948
499,Wonder,PG,113 min,"Drama, Family",7.9,66,173653
500,In Bruges,R,107 min,"Comedy, Crime, Drama",7.9,67,451582
